Date,Day,Target ISO,Target PSA,Cumulative Plan ISO,Cumulative Plan PSA,Cumulative Actual ISO Issued,Cumulative Actual PSA Issued
2-Jun-23,Friday,50,80,50,80,0,0
5-Jun-23,Monday,50,80,100,160,941,20
6-Jun-23,Tuesday,50,80,150,240,,
7-Jun-23,Wednesday,50,80,200,320,,
8-Jun-23,Thursday,50,80,250,400,,
9-Jun-23,Friday,50,80,300,480,,
12-Jun-23,Monday,50,80,350,560,,
13-Jun-23,Tuesday,50,80,400,640,,
14-Jun-23,Wednesday,50,80,450,720,,
15-Jun-23,Thursday,50,80,500,800,,
16-Jun-23,Friday,50,80,550,880,,
19-Jun-23,Monday,50,80,600,960,,
20-Jun-23,Tuesday,50,80,650,1040,,
21-Jun-23,Wednesday,50,80,700,1120,,
22-Jun-23,Thursday,50,80,750,1200,,
23-Jun-23,Friday,50,80,800,1280,,
26-Jun-23,Monday,50,80,850,1360,,
27-Jun-23,Tuesday,50,80,900,1440,,
28-Jun-23,Wednesday,50,80,950,1520,,
29-Jun-23,Thursday,50,80,1000,1600,,
30-Jun-23,Friday,50,80,1050,1680,,
3-Jul-23,Monday,50,80,1100,1760,,
4-Jul-23,Tuesday,50,80,1150,1840,,
5-Jul-23,Wednesday,50,80,1200,1920,,
6-Jul-23,Thursday,50,80,1250,2000,,
7-Jul-23,Friday,50,80,1300,2080,,
10-Jul-23,Monday,50,80,1350,2160,,
11-Jul-23,Tuesday,50,80,1400,2240,,
12-Jul-23,Wednesday,50,80,1450,2320,,
13-Jul-23,Thursday,50,80,1500,2400,,
14-Jul-23,Friday,50,80,1550,2480,,
17-Jul-23,Monday,50,80,1600,2560,,
18-Jul-23,Tuesday,50,80,1650,2640,,
19-Jul-23,Wednesday,50,80,1700,2720,,
20-Jul-23,Thursday,50,80,1750,2800,,
21-Jul-23,Friday,50,80,1800,2880,,
24-Jul-23,Monday,35,80,1835,2960,,
25-Jul-23,Tuesday,35,80,1870,3040,,
26-Jul-23,Wednesday,35,60,1905,3100,,
27-Jul-23,Thursday,35,60,1940,3160,,
28-Jul-23,Friday,35,60,1975,3220,,
31-Jul-23,Monday,35,60,2010,3280,,
1-Aug-23,Tuesday,35,60,2045,3340,,
2-Aug-23,Wednesday,35,60,2080,3400,,
3-Aug-23,Thursday,35,60,2115,3460,,
4-Aug-23,Friday,35,60,2150,3520,,
7-Aug-23,Monday,35,60,2185,3580,,
8-Aug-23,Tuesday,35,60,2220,3640,,
9-Aug-23,Wednesday,35,60,2255,3700,,
10-Aug-23,Thursday,35,60,2290,3760,,
11-Aug-23,Friday,35,60,2325,3820,,
14-Aug-23,Monday,35,60,2360,3880,,
15-Aug-23,Tuesday,35,60,2395,3940,,
16-Aug-23,Wednesday,35,60,2430,4000,,
17-Aug-23,Thursday,35,60,2465,4060,,
18-Aug-23,Friday,35,60,2500,4120,,
21-Aug-23,Monday,35,60,2535,4180,,
22-Aug-23,Tuesday,35,60,2570,4240,,
23-Aug-23,Wednesday,35,60,2605,4300,,
24-Aug-23,Thursday,35,60,2640,4360,,
25-Aug-23,Friday,35,60,2675,4420,,
28-Aug-23,Monday,35,60,2710,4480,,
29-Aug-23,Tuesday,35,60,2745,4540,,
30-Aug-23,Wednesday,35,60,2780,4600,,
31-Aug-23,Thursday,35,60,2815,4660,,
1-Sep-23,Friday,35,60,2850,4720,,
4-Sep-23,Monday,35,60,2885,4780,,
5-Sep-23,Tuesday,35,60,2920,4840,,
6-Sep-23,Wednesday,35,60,2955,4900,,
7-Sep-23,Thursday,35,60,2990,4960,,
8-Sep-23,Friday,35,60,3025,5020,,
11-Sep-23,Monday,35,60,3060,5080,,
12-Sep-23,Tuesday,35,60,3095,5140,,
13-Sep-23,Wednesday,35,60,3130,5200,,
14-Sep-23,Thursday,35,60,3165,5260,,
15-Sep-23,Friday,35,60,3200,5320,,
18-Sep-23,Monday,35,60,3235,5380,,
19-Sep-23,Tuesday,35,60,3270,5440,,
20-Sep-23,Wednesday,35,60,3305,5500,,
21-Sep-23,Thursday,35,60,3340,5560,,
22-Sep-23,Friday,35,60,3375,5620,,
25-Sep-23,Monday,35,60,3410,5680,,
26-Sep-23,Tuesday,35,60,3445,5740,,
27-Sep-23,Wednesday,35,60,3480,5800,,
28-Sep-23,Thursday,35,60,3515,5860,,
29-Sep-23,Friday,35,60,3550,5920,,
2-Oct-23,Monday,35,60,3585,5980,,
3-Oct-23,Tuesday,35,60,3620,6040,,
4-Oct-23,Wednesday,35,60,3655,6100,,
5-Oct-23,Thursday,35,60,3690,6160,,
6-Oct-23,Friday,35,60,3725,6220,,
9-Oct-23,Monday,35,60,3760,6280,,
10-Oct-23,Tuesday,35,54,3795,6334,,
11-Oct-23,Wednesday,35,50,3830,6384,,
12-Oct-23,Thursday,16,50,3846,6434,,
13-Oct-23,Friday,15,50,3861,6484,,
